"rgn_id","val_num","layer"
1,0.625001954821989,"alien_species"
2,0.625001954821989,"alien_species"
3,0.625001954821989,"alien_species"
4,0.625001954821989,"alien_species"
94,0.625001954821989,"alien_species"
5,0.525469810690956,"alien_species"
6,0.75,"alien_species"
7,1,"alien_species"
8,0.5,"alien_species"
9,0.5,"alien_species"
10,0.5,"alien_species"
11,0.5,"alien_species"
14,0.743824908621855,"alien_species"
15,0.5,"alien_species"
16,0.625,"alien_species"
17,0.5,"alien_species"
18,0.5,"alien_species"
19,0.5,"alien_species"
20,0.75,"alien_species"
21,0.625,"alien_species"
24,0.5,"alien_species"
25,0.5,"alien_species"
28,0.5,"alien_species"
29,0.519807661770851,"alien_species"
32,0.519807661770851,"alien_species"
33,0.519807661770851,"alien_species"
30,0.519807661770851,"alien_species"
35,0.519807661770851,"alien_species"
36,0.519807661770851,"alien_species"
34,0.519807661770851,"alien_species"
31,0.875,"alien_species"
37,0.5,"alien_species"
38,0.704306726935814,"alien_species"
39,0.5,"alien_species"
40,0.5,"alien_species"
41,0.5,"alien_species"
42,0.5,"alien_species"
43,0.625,"alien_species"
44,0.5,"alien_species"
45,0.5,"alien_species"
46,0.5,"alien_species"
47,0.5,"alien_species"
48,0.5,"alien_species"
49,0.5,"alien_species"
50,0.75,"alien_species"
51,0.5,"alien_species"
52,0.5,"alien_species"
53,0.5,"alien_species"
54,0.5,"alien_species"
56,0.5,"alien_species"
59,0.5,"alien_species"
60,0.635762047040634,"alien_species"
61,0.625,"alien_species"
62,1,"alien_species"
63,0.027813397739278,"alien_species"
64,0.5,"alien_species"
65,0.5,"alien_species"
66,0.5,"alien_species"
67,0.5,"alien_species"
68,0.5,"alien_species"
69,0.625,"alien_species"
70,0.5,"alien_species"
71,0.5,"alien_species"
72,0.5,"alien_species"
73,0.5,"alien_species"
74,0.5,"alien_species"
75,0.625,"alien_species"
76,0.5,"alien_species"
77,0.5,"alien_species"
78,0.5,"alien_species"
79,0.875,"alien_species"
80,0.625,"alien_species"
81,0.75,"alien_species"
82,0.5,"alien_species"
84,0.5,"alien_species"
93,0.665209032330123,"alien_species"
91,0.665209032330123,"alien_species"
92,0.665209032330123,"alien_species"
95,0.665209032330123,"alien_species"
85,0.665209032330123,"alien_species"
86,0.665209032330123,"alien_species"
88,0.665209032330123,"alien_species"
89,0.665209032330123,"alien_species"
96,0.5,"alien_species"
97,1,"alien_species"
98,0.5,"alien_species"
99,0.5,"alien_species"
100,0.5,"alien_species"
101,0.625,"alien_species"
90,0.625,"alien_species"
102,0.625,"alien_species"
103,0.5,"alien_species"
104,0.5,"alien_species"
106,0.5,"alien_species"
107,0.5,"alien_species"
110,0.75,"alien_species"
112,0.5,"alien_species"
114,0.5,"alien_species"
115,0.875,"alien_species"
116,0.097101835217476,"alien_species"
111,0.597101835217476,"alien_species"
108,0.597101835217476,"alien_species"
118,0.597101835217476,"alien_species"
117,0.597101835217476,"alien_species"
